username,hashtags,retweets,url,punctuations,sentence_length,emoji,label
b0d294649cc79c01cca03f450547a004,0,0,46,4.57,12.31,1,bot
81dea65b4555c0c3a851b570ab992b8a,0,0,49,4.77,12.66,2,bot
83f2f460c1419a880611378eef408035,0,0,48,4.7,13.06,3,bot
abc0eddee415b6e25448e4b7f8da1622,0,0,36,4.37,13.24,2,bot
e349fd971790b13fa185e3cfdd021059,0,0,47,4.57,12.97,3,bot
43a0f99038e49f49436c5c880f5bf787,0,0,49,4.86,12.73,5,bot
6586c6858b0aab51410eab76b693714d,0,0,39,4.66,13.24,4,bot
28da3da02373a037fd1c1c7a306ccf12,0,0,81,10.21,16.48,0,bot
e68c9b5d7380765a61e98b0248a2e474,0,0,48,4.7,12.36,3,bot
f4a671581933a20d4db1168d9ec12abf,0,0,47,4.96,12.4,2,bot
c184359db04a7966a1a56a7f726c65ef,0,0,32,3.92,12.58,2,bot
d3848b7f6a13e4c37243433ce4f0e54b,0,0,41,4.55,13.25,6,bot
be47a9be10abd62c36a5033338ff17bc,0,0,46,4.64,12.74,3,bot
edbea5179a48abfb06d016932fbfffd2,1,0,46,4.89,12.57,3,bot
30d4c9809c41e8ee89dad75cdbecdeb4,0,0,44,4.76,13.1,2,bot
513e237429859f8123f546158fa6580f,0,0,53,5.24,12.57,4,bot
b7443c71371d8f40fced7554935611d5,0,0,47,4.6,12.79,5,bot
f245b97f8ae54b142625e3816343c780,0,0,39,4.28,12.8,2,bot
c20b5d97c3a46619797cebd71be13c6,0,0,54,4.88,12.58,1,bot
f4843859917faf66f255406e9819c57e,0,0,53,4.74,11.37,4,bot
48ed710d044023e2cb1281ba0ca7b308,0,0,38,4.59,13.53,4,bot
66276da73e220fdab07f68d34d9a3766,0,0,45,4.7,12.03,7,bot
ebff67e23fef4510533b540fbe47e97f,0,0,52,4.96,12.16,3,bot
f249890904c3e722c925ccc4ea368377,0,0,34,4.13,13.63,2,bot
efe6bbc53876ce54780b4d0cf9d4be08,0,0,47,4.76,12.25,6,bot
ae55920de3d233c46d31ad5617aa46e3,0,0,48,4.93,12.47,4,bot
9d9fb5b64f1bf9f0e0b65caecb56e483,0,0,47,4.86,12.9,3,bot
1702ef4e517b2091c6c0cb161a9dac79,1,0,45,4.61,12.67,0,bot
3f2aed4dd1489dd2d1b544b9dca74f05,0,0,0,2.99,10.1,0,bot
af6d6523fedc270a813d7cc0cda14c24,0,0,0,3.15,11.66,0,bot
aa6038ecbf166330c8f311f02cabeba3,0,0,0,3.2,10.7,0,bot
e2a34e4d4326183c0010bde9be494869,0,0,0,3.06,10.81,0,bot
c4226944352e2c4f2b636c4d4155f88c,0,0,0,3.29,12.29,1,bot
e8e19da73acb549497a369b023a836e,0,0,0,3.02,10.85,3,bot
e4893fadd3807ab6dcbdbfdc660a3468,0,0,0,3.08,11.34,1,bot
c3b30625dd77efef60583c0f8381d4b6,0,0,0,3.02,11.01,0,bot
131a582c85353760983f21f28adace54,0,0,0,3.2,11.25,4,bot
e757c22963192db8b46d608414ca14ab,0,0,0,3.15,11.42,3,bot
d26a448e699c5206b7b58f19969027f5,5,1,192,12.17,11.2,3,bot
2dc865b097d33499e08cf038ef6c2955,0,0,192,13.35,12.9,0,bot
62d2b35894556da77d3793e18d1ffc4d,0,0,131,16.3,8.88,0,bot
2d0e38bfa5ae966f00d9054b5cc5297d,0,1,99,15.96,6.94,0,bot
2a00725d89f25bf4fdcf67318ca3591,0,0,100,11.29,8.94,0,bot
987a68243bdfbdd574a1d05c643b8002,4,0,26,4.38,13.5,5,bot
3919600a23fa93586ac034ec7086ab99,11,0,24,4.28,13.83,4,bot
9ea278f219f869b289dcd57a2d79605a,5,0,14,3.95,14.56,2,bot
bb01c1d228425fe80cfcde2952c2f9c5,11,0,41,5.06,12.24,14,bot
54d0efdb1c12319e9a195447a0274edd,13,0,18,4.35,14.26,9,bot
be2f9d40ba4a43f496b49c9ed06815c9,1,0,14,4.08,15.19,5,bot
d0501196cba17403613b2d4faa72fa42,1,0,2,3.9,16.0,2,bot
70ddcdd222a02d2df685e67a38b903d7,2,0,0,3.45,15.5,0,bot
aa812078728850c679ed0c7d6e20b618,3,0,5,4.23,16.42,8,bot
f14500eba2584cb62814d5260be8a2fc,0,0,5,4.15,16.49,6,bot
b26710dacd16540fde2fee77c225bcb3,3,0,99,6.33,10.84,0,bot
df9158fb9bae4f88bb29f82b38dd8093,0,1,100,6.5,10.92,1,bot
c0a532f7558569a2c1c5e30f897dc6c8,0,0,102,6.44,10.9,0,bot
71eec5f31f3cc687597b930a190b0ea4,3,1,98,6.21,10.75,2,bot
9b9b0cce739c7885429de6ea445b95d5,2,0,102,6.83,12.57,0,bot
3d51b53f56b2736614b7351aa4f8f233,0,1,101,6.36,10.73,1,bot
80ddbc35bae2efc7ad5ffb34f6b85c66,1,0,100,6.14,11.24,0,bot
1e065b1eedfd5dc807f93b2804c7df3,0,0,100,6.41,11.06,0,bot
bebd05ac94e0f2fb5c3ce319d95ba913,0,1,100,6.36,10.47,0,bot
1debf0426f4535109186a0d0dc063a45,1,0,100,6.32,11.27,0,bot
ac5e12fefc576fa8c68b874ebfe5391,0,0,100,6.3,1.0,0,bot
3d7f2c8b6740dde4c3fe70dbb982c789,5,0,186,20.24,37.77,218,bot
41ea5be536539c76414a3da99a720b3d,2,0,190,20.37,37.26,221,bot
a31ee4bb0c1517751c1199283c4eda4e,8,0,171,21.22,36.74,269,bot
c7f3a84e320d4afc899f84f96a3c6a04,8,0,192,23.44,37.41,252,bot
bdd016ad2ca70befd8c10cbf4fa590d7,16,0,187,26.18,37.18,252,bot
7ffa4f8fa4fec15308c3c94b3d57eade,16,0,189,26.81,37.38,266,bot
6c59cecace278ff6b09b686102720418,12,0,183,22.26,37.22,278,bot
da968e37ff751bf3baa3ee76357d1716,10,0,191,23.1,36.85,239,bot
6903186eb3b4dd70f3128282a8051713,6,0,175,20.03,37.27,240,bot
93364f57b3e94e3cd6c0bb4a4d5544b0,3,0,184,21.58,37.08,260,bot
e94868dbbf46631549564cb610bcc0ff,3,0,197,21.18,37.87,195,bot
8c88884c6cffd606bb94d6cbcc595061,4,0,197,20.62,38.03,213,bot
af03b213afb0b04111bffc9df8e5a615,362,0,148,19.62,36.96,149,bot
7a8958bbd67f4c0bca7c72e36dd5c68c,540,0,159,23.46,36.9,222,bot
748d30b7b45e3e6e5f4cfdbb50491321,35,0,192,21.64,37.34,209,bot
37683cc3186215232bfc3aa0d53a25ec,7,0,195,22.7,38.45,211,bot
8fe7502d2f2da6c16c551cfa8fe501f,9,0,197,20.99,37.31,200,bot
158d45fd04415216db06105148bf592d,3,0,177,19.34,36.63,189,bot
d7ab07573f409546cd8a6ce2c35183c2,2,0,194,22.02,37.49,263,bot
d3f8967a2c5d4748989c871ef5c68fe7,5,0,186,21.19,37.39,202,bot
e6666880e8d496aa02d55c2784dc0f82,2,0,90,5.55,6.68,1,bot
785fe083796db19f2da5f1b1f464583c,4,0,200,19.22,38.33,170,bot
925a93ce55e0aaca47df42d7e3a8938d,7,0,200,20.75,37.79,174,bot
aa591007be49a32a2981377028ad47f9,281,0,154,22.56,37.15,394,bot
e784c6c6cb19670249e135ea215d8472,438,0,187,25.24,37.56,479,bot
a2ebf2e8a0a09ec137d23dce687550ed,275,0,157,22.79,36.43,370,bot
277f3f35a567c206c3058ca15d9ef1f4,6,0,201,22.87,38.12,167,bot
1a68f57ebcdcb960263e0f7f400bc92a,3,0,199,19.9,38.76,220,bot
89241afef8276eeaf912e191651b4227,9,0,200,21.97,39.21,204,bot
884cfb2fb58a9187965560119cd00873,6,0,188,22.08,37.45,227,bot
e60e94250263b5fa63ccfa4e172ba303,8,0,197,21.46,38.48,228,bot
dbeb01a74c90a81107a95867d17ed232,4,0,179,18.21,34.39,164,bot
6d39d3cfe912d9f70083438734472517,6,0,189,19.19,35.28,166,bot
bfe79751e3b99fb5a29de1e237f9b8d1,9,0,184,18.14,34.35,145,bot
d21dfb1013bfefd54651b7bc571978e8,2,0,182,18.63,34.32,151,bot
d22bf8b2d4162ab12efdafc40495ea02,5,0,184,19.13,33.76,133,bot
4a56399f7e9265e4661339461280d916,10,0,182,19.53,34.47,179,bot
854a44b27b929cacf1984a496e9de9aa,10,0,183,21.53,34.4,197,bot
2edf34a5436964d08487c7a40751b2f9,9,0,189,20.94,34.75,169,bot
c12e9ed2bfc3c7cd01976311096b3c54,9,0,177,19.92,35.25,215,bot
95893924ed72cd3f094e77d456bc5e40,5,0,189,19.56,33.45,166,bot
d470457608d3970fdd31ffde40e7a7cb,0,0,38,4.73,12.78,3,bot
2b9d7c655316a1551eb9c749216d1698,0,0,44,4.9,12.89,7,bot
169783398f987f9d3376f378494620ed,0,0,45,4.9,13.08,2,bot
3eeeaacab700f923cf94656cd558e052,0,0,47,4.46,11.57,4,bot
bf535c1fc9bcdd1361217b76d26e373,0,0,44,5.02,13.77,2,bot
51ef918d74438bbc54ed9eedc411e8f8,0,0,43,4.43,12.41,2,bot
f281efe1f1ab1e3eaf0b64d4959d5c1,0,0,53,4.92,12.31,4,bot
8fa80fa62fb9eaf62e921afddb4d8e0a,0,0,45,4.89,12.39,7,bot
423aa6f98a10402802eb94c77fd57430,0,0,42,4.79,13.01,4,bot
7318c3b09c8a838edc49cca056ce6eef,0,0,49,4.86,13.26,5,bot
9a196997d61d6eee7b78d44efc562c2d,627,0,116,25.06,34.88,352,bot
9a70bf87b9f4bae6f1e0f7e2a0a29644,617,0,118,25.63,35.33,333,bot
7c166034202404a340dd92400354fa95,612,0,122,24.37,34.44,349,bot
263033534de09372827491008960a228,643,0,116,26.16,35.21,373,bot
3bbf086f14226d1c38bab9921306f0e3,104,0,185,23.55,36.18,215,bot
c9f173756d272be4b0f5afc4351f2427,10,0,199,23.63,37.57,190,bot
902cb7020b6b55c428893507f133d7a3,469,0,129,25.49,36.12,345,bot
aa87c7f89056faa6ae5919f799a6ed4c,558,0,158,25.87,33.97,327,bot
27ac83fc247a943dd17788ad4c1709b3,414,0,141,23.8,35.04,325,bot
691e74c9e5d89b6e98973a55d7585db0,11,0,196,22.25,36.44,201,bot
367dfd361b4a99c5b81f0b640a996839,0,0,0,0.01,0.0,0,bot
78253fb37b11c45f82d94429a8c08443,0,0,0,0.0,0.0,0,bot
d8dcabae371bfc65dd0017321de376eb,0,0,0,0.0,0.0,0,bot
b47d54f0ce291bf9759703db60a2bcaa,0,0,0,0.0,0.0,0,bot
face039c8fa56a98d2f91dab7f60fbdc,0,0,0,0.0,0.0,0,bot
ba02cc8a84e0eab59d7b7dfb83142a01,0,0,0,0.0,0.0,0,bot
3bca4bdf38e837944f2c3d49d4c2564d,0,0,0,0.0,0.0,0,bot
6266cdea599abab19f748e7d21e22e07,0,0,0,0.0,0.0,0,bot
9287c744e3322e48ae1d2405f66bba51,0,0,0,0.0,0.0,0,bot
fb2b570554f26b7dfe9148af0874a0e8,0,0,0,0.02,0.0,0,bot
db93e91239afec86dbf32d03ace37e47,148,0,100,14.44,16.16,0,bot
4518560cad12df7e7ba347d389581cfc,0,0,100,5.0,1.0,0,bot
3e90c5c7eff60e3aaa93d25ad283a777,0,0,100,5.0,1.0,0,bot
a32b3f3cba0946d9251833b7d375b18a,0,0,100,5.0,1.0,0,bot
71f06d3402d7df023ebd56b9504bb52d,0,0,100,5.0,1.0,0,bot
b280e5c3568c7aa0ee3a2914e2e4d399,0,0,100,5.0,1.0,0,bot
4b358a84875e516d72bd3a0db5d0fc25,0,0,100,5.0,1.0,0,bot
8b3647c18c91c19a59a0071df8e56eed,0,0,100,5.0,1.0,0,bot
f0bdd8ad1af15581430be3345f2a3eab,0,0,100,5.0,1.0,0,bot
28ef6acd3c49dd54f31f772e5d96e66a,0,0,100,5.0,1.0,0,bot
262bbedf5732d8a719a8002b21b594c9,0,0,100,5.0,1.0,0,bot
a90bfaa79b36a83e0e7c393719857884,5,0,177,20.12,35.7,161,bot
6c43f22b7eacc5574dfa7698458eed61,3,0,201,20.49,35.58,173,bot
fa8341ef722b8955180e8bf8bdb55b38,4,0,186,18.96,35.6,199,bot
82bd76cef23074f0c96da99c216536ce,5,0,179,20.1,38.0,208,bot
b7129aaf77ec058ae7f03e08f6bc4a9e,3,0,191,20.71,35.61,177,bot
83de3b2a56191cb4c70afc8a5e07ec5a,2,0,181,21.14,36.25,266,bot
2400afc80cb446158fffdc567e59bd4b,2,0,177,20.35,36.6,231,bot
9837a071ccf809aa66cd7731328292af,8,0,196,23.57,37.76,303,bot
7c60819f7d0179b2becf551086cde816,7,0,183,24.07,35.98,281,bot
4652ce1608fa959575af63f0a5affa2,10,0,193,21.95,37.24,224,bot
377516f737f3de40ff52210059fec22b,0,0,200,15.81,13.32,0,bot
b24ea2c7b46aad2be985345013d32c29,0,0,200,15.9,13.4,0,bot
5f5e90377f4e6e6587f57aef153f2e8b,0,0,200,15.97,13.48,0,bot
fff941f9610112fb0cfe57a2d2a4f7af,0,0,200,15.86,13.53,0,bot
7f0af5c014f8ebde8837f73bdec69750,0,0,200,15.84,13.35,0,bot
189ee1140e65c79145ade07ed73e0ffb,0,0,200,15.9,13.48,0,bot
fc48cbb19711e92fec6e8270d9f98cae,0,0,200,15.9,13.41,0,bot
6df43494cbf798850e049e7c93f06375,0,0,200,15.84,13.7,0,bot
32098642f1a81fe37743c6a0cb9f2bd5,0,0,200,15.93,13.66,0,bot
6c1fb25330347308b864f668a2348fa1,0,0,200,15.92,13.97,0,bot
231b1ac9c87875503cf40fa46630772a,1,10,49,7.82,12.76,73,bot
e30a43031a29d90ee70cf1ed638b5e17,0,0,40,4.73,13.25,5,bot
6c15059091629017fdf8ec99e6c0d13c,0,0,45,4.49,12.1,5,bot
34940de8d5ebbb27290c8e06b3a97580,0,0,47,4.63,12.56,4,bot
727090fe1d69a877f438144d600d3289,0,0,45,4.73,13.13,2,bot
bb4a33b3a2ffda20e61b792d57f29ea,0,0,43,4.78,13.43,6,bot
a16dc65e5c8f375b7774a7df668d5172,0,0,53,5.07,13.35,9,bot
2cfebcc7467934e290bc74ab6f168bbe,0,0,43,4.64,13.36,2,bot
9c6e50dec1606d2be1e9a818d2dea6e5,0,0,49,5.05,13.03,9,bot
76c1f36eec200feaaf886dd694dba665,0,0,46,4.92,13.04,8,bot
601501f84c16639925bb55d9a656df38,0,0,51,4.77,12.05,5,bot
efa5d2c93cdb639d68f5904ef814ccc5,0,0,100,9.15,12.36,0,bot
6bc9e8007cecad0408084696e315003b,0,0,48,4.86,12.41,9,bot
d2432e19ce5be2b6c7e8996b770f55a,0,0,46,5.12,13.38,10,bot
38e130e83f41d1851f94b202e1f1a0e0,0,0,40,4.23,12.66,3,bot
c1ee154466abe72c2e31f2359c462a9a,0,0,37,4.66,13.26,4,bot
84e5d532001e24b49385be95a6cc61cf,0,0,43,5.2,14.26,3,bot
8d21dddd097a394677634c9072bc2b6a,0,0,46,4.64,12.89,3,bot
e4959753d441879a8b2cd6675516d97c,0,0,34,4.48,13.25,6,bot
2b378ec96c4d573d2a8ea4148d354d53,0,0,51,4.93,12.74,3,bot
39e32905d7a8e493e650224a16fdb99f,0,0,41,4.8,12.94,0,bot
2cee172ed264b7bad1a7fa645f4ec0c0,0,0,48,4.85,12.23,9,bot
bc7f0850da1e86bb065211a2810661e2,465,0,181,17.91,18.55,259,bot
4c669c02070c888c5adb3d5c4ca8a068,572,0,120,22.04,32.99,350,bot
b7a110d42a9895f5460cbd785c14248a,600,0,104,21.21,34.76,323,bot
761a34d1f5ac0fbfed56ab044d452085,594,0,105,21.44,35.27,338,bot
f6c6c42b4ae0e51526d839870cdac6bc,599,0,104,22.01,35.48,341,bot
e0d51092399cb2145bdee054c7fd8337,600,0,105,20.91,35.94,336,bot
4efecd93d5afdae7345b09f6bfe9deea,603,0,106,22.12,35.05,341,bot
62ef7da37d589f064856ee1d39697615,597,0,106,21.48,35.97,354,bot
4e89cd593e6fb5d8e05287e0f522732f,599,0,105,22.37,35.26,357,bot
5c4fcb4383b77aa6cd4db049b314054,592,0,114,22.2,35.78,328,bot
8f42454f2bfda400b8c1f095ad8d931b,0,0,51,3.87,5.67,3,bot
f2c59b420ae5abbd09651a34921ca90d,29,16,167,17.95,14.54,6,bot
1ed35fbf16654d7f02f0e6790524ad56,9,12,186,16.87,14.88,2,bot
61a81944f1f17895903868ab7c6f4e0d,4,13,183,18.35,14.9,6,bot
b58ced882574852ce6dcc055256d4767,34,34,184,18.02,14.21,0,bot
1bd4f0ae6e21add3da1f9c996e70b0f5,31,30,182,18.24,14.53,5,bot
f334b328bf5ad11c3c9e859fc38f19d4,22,18,174,16.97,13.82,2,bot
a11f49c018ad63633cb4b4b1a40eea0c,11,27,167,18.01,15.24,79,bot
804261cae1ac58c81c9c204b919dc524,12,29,165,19.19,15.76,1,bot
45ee238d15bb0890491c209eb1ab2b9,12,20,194,16.92,12.03,1,bot
2289cafedaa422850c10ed201be068cb,5,32,184,18.5,13.44,140,bot
147f60069e88253f213559a6a5424ae9,370,0,174,16.77,15.26,418,bot
bdec521c4ee7fc0dcb2e2494a4282929,506,0,190,17.1,15.96,247,bot
1472c1d6ff4aa544f6354a78670faca1,565,0,189,16.79,15.38,141,bot
15fa080e6e8e1d125b743c3761a28d03,511,0,148,19.05,26.05,328,bot
b0a6414b2e6a277a875cec5f4f9987e,592,0,105,19.55,35.14,321,bot
710e494f0defed0f72cee9b8fd307cd1,592,0,105,19.83,35.59,322,bot
7a9ede8fe4adbe0d7b3dde08fa3f1861,595,0,104,20.53,35.86,346,bot
1bc2ea67610df1a552f576248bcb4730,604,0,111,20.86,35.05,360,bot
4c500f7180f5d7d33bdfb9b9bd9e1d38,607,0,112,21.1,34.43,342,bot
fab8f4a4711246e9dd37fe85db242530,620,0,112,20.15,34.89,310,bot
3ad068d3b3706e118b86275b8613b304,0,0,100,6.03,1.0,0,bot
ae13a3efef1bf7b6838558e6a92cec46,0,0,100,6.01,1.0,0,bot
62301a6c158421e89ea03d777624d396,0,0,100,6.07,1.0,0,bot
7b029c8bab5c62c4f961274b55879489,0,0,100,6.02,1.0,0,bot
e56ecec11f4ffbedb3984a652aace193,0,0,100,6.0,1.0,0,bot
448d21630f7b2869af17e10544f8ff40,0,0,100,6.01,1.0,0,bot
a7e9505966edeb7eebb1d7b11f635668,0,0,100,6.01,1.0,0,bot
8ab4f09dc18f697a9a20e55b8c9ebb2f,0,0,100,6.0,1.0,0,bot
9edc5710e2a3b5d5b7930bd5a8c95e28,0,0,100,6.04,1.0,0,bot
556b01b70464a47b4a9502ccfcbad123,0,0,100,6.0,1.0,0,bot
d309a410082ccbd26b910549f3ab76f5,0,0,41,5.16,13.77,7,bot
c0403b08caec4ae295c7eef9c64e85a4,0,0,40,4.53,13.22,7,bot
3c077090987761807ad3c62f83009ec6,0,0,39,4.2,12.0,1,bot
11a3e3f2aec6d22ca280fd623a84f084,0,0,56,4.86,12.05,9,bot
79310ff27d8982e4aa406337cb4f20d2,0,0,38,4.5,13.0,4,bot
79e0dd954d3494365a138d9eaa086255,0,0,42,4.64,12.26,3,bot
18a1d4e956d6654e2d9dc3d20386c80,0,0,46,4.87,12.59,10,bot
937ad7af64dd1355d639bb399186474c,0,0,39,4.52,13.62,12,bot
2e8b234412b64460f4f19879e8089d50,0,0,50,4.6,12.66,5,bot
167c40d2758ef737686f933dd44caaa6,0,0,41,4.64,13.39,1,bot
3d493f300170d3c59deea24bc8b4468c,35,7,100,11.23,13.99,2,bot
677d97690680e1a6760fbf1782b3dfc1,28,2,100,11.23,13.66,6,bot
6b2b7543f2edf01b6d2c6dee2367bd50,31,2,100,10.93,13.89,4,bot
ed125db50ba3b89c3a9a11f2dba363f3,22,2,100,11.5,13.39,6,bot
6aa8836b60d8680086caf4ef31075a44,38,0,100,11.39,14.07,0,bot
2dc5fbe7270b626e43e073e1aee99e44,26,4,100,11.5,14.84,0,bot
6010402431f55a3c95c911cdef8067ca,34,3,100,11.88,14.54,0,bot
7b0407c88a8b2f591c5c53dc673cc287,31,2,100,11.34,14.61,0,bot
dd38a81f6e468816513fb704f0645a8e,35,0,100,11.34,14.07,0,bot
78326fe9576ede7eeb0df38493848f9b,41,3,100,11.75,14.56,0,bot
16d05d4816f1af5442d675c160ef07a8,12,0,198,23.62,37.87,199,bot
205d4a553149114f1f5a59fc11bef699,9,0,202,23.46,37.68,205,bot
5ffd004497421e449f9085cf9125c8f5,232,0,173,23.74,36.95,220,bot
abc164ea155f5bfda51c9acd7da76259,489,0,166,23.07,38.23,199,bot
6255880c80679d130b593999ec81400e,264,0,170,21.61,37.46,198,bot
12b2755760785bbfd856fd45b54dcf9a,16,0,200,22.89,37.37,178,bot
af20c5d5b0b3739c106d293b225c5deb,10,0,197,21.29,38.47,218,bot
b2a85035033e330fd2e83614af94bb3a,9,0,200,23.22,37.99,207,bot
6fb331ad37d1714b8c17cd859b064800,7,0,185,20.34,37.36,188,bot
d19e986ba97e4bdf74f48ef54bfee7c1,12,0,192,22.2,38.29,233,bot
1629c19a5af09e054e75bc27ae066ae7,0,0,47,4.62,12.95,3,bot
2c29729ac0b5543dc385ba1dd1f83317,0,0,49,5.54,14.65,2,bot
5f014705c91686f8af3deb588f093e8a,0,0,43,4.42,12.97,4,bot
1248ee4ea156840ac178cb7a7c9d512f,0,0,40,4.65,13.42,3,bot
f32c1b61d9de0d865608c9e71379d915,0,0,45,4.7,12.8,7,bot
b3bca488109c80a6f37419fb4933558c,0,0,50,5.04,13.14,3,bot
eedd7e6e9d9a4575fa93b73c48d906a4,0,0,50,4.85,12.5,2,bot
1dd0e8202f702f67aa539bceadd1f481,0,0,48,4.58,12.28,4,bot
209bbe4b5e1af48aadda7c59c68e394b,0,0,45,4.9,13.33,2,bot
89c7c820726261ce5b6371d693148f44,0,0,47,4.81,13.11,13,bot
e058a423a736d8c574998356a353b53d,145,43,72,10.73,10.5,24,bot
8b3626fccdea4cef4ab8d6753ce3fcf1,338,21,84,17.57,11.88,57,bot
e14558c2ac1df3dc2f9de8cd99e90f4d,88,55,58,9.3,10.17,68,bot
c2afc77008b2b8a32b6c04edbe58776b,154,63,100,11.68,12.3,19,bot
f095b6ca6639ad6f90b27e30e9b2185b,233,21,99,12.01,13.11,9,bot
9fd5bfb340d9037dba007e89a08ff031,249,20,100,12.64,13.76,16,bot
15d8d55f52da22af917e3da9f503ef55,126,84,87,13.4,13.41,79,bot
4af719a7d83029ce51f826993a2fcaff,173,90,82,19.45,13.26,85,bot
9278482af104b4a01db3a7ef077a76cd,173,75,104,17.09,13.29,254,bot
